ID_HDC_G0,UC_NM_MN,UC_NM_LST,EL_AV_ALS,E_WR_P_14,E_WR_T_14,P15,BUCAP15,NTL_AV,TT2CC,E_GR_AV14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX,State,GDP15_SM_AV,E_GR_AH14_AV,E_GR_AM14_AV,E_GR_AL14_AV,E_GR_AT14_AV,E_EC2E_E15_AV,E_EC2E_R15_AV,E_EC2E_I15_AV,E_EC2E_T15_AV,E_EC2E_A15_AV,E_EC2O_E15_AV,E_EC2O_R15_AV,E_EC2O_I15_AV,E_EC2O_T15_AV,E_EC2O_A15_AV,E_EPM2_E15_AV,E_EPM2_R15_AV,E_EPM2_I15_AV,E_EPM2_T15_AV,E_EPM2_A15_AV,E_CPM2_T14_AV,EX_FD_AREA_AV,EX_FD_B15_AV,EX_FD_P15_AV,EX_SS_AREA_AV,EX_SS_B15_AV,EX_SS_P15_AV,AVG_NGMH_ADJPREV
1,Honolulu,Honolulu; Waipahu; Pearl City; Aiea,52.29643514,741.6250153,23.5266223,512853.6667,157.2522188,24.76857414,15412.05792,0.369290388,0.074385203,0.22641504,56.41,HI,42754.27104399798,0.00013710940156177694,0.00019197603008967625,2.9324147405964133e-05,0.0003584095790574173,0.9657717699222994,0.7733732116066004,0.8907755329888918,0.6730990735061463,1.1038792676335953e-07,0.022192250751046447,0.016038828198164466,0.09974579425191814,0.02084948720129722,6.003278765287611e-06,8.160330251568814e-05,7.827682443671217e-05,0.00033970952244729267,4.5893725751147096e-05,9.268442459592539e-08,1.124126700135768e-05,0.0,0.0,0.0,0.00031392970442420355,0.0001363954762380955,0.8658250068820265,9.2
5,Santa Barbara,Santa Barbara,38.29809451,183.9250069,15.37690687,114753.1502,332.0322742,19.63392465,2604.691241,0.362784899,0.55676245,0.061348029,36.5,CA,36249.12690196456,1.9232269616594802e-05,0.00046196657902294343,3.797019818110405e-05,0.0005191690467422131,0.0002683620320342195,0.6632580812583218,0.6498591895736907,0.43366183667522534,2.3128640776957075e-05,1.2819404935168394e-06,0.029113646119320217,0.08462467842560369,0.023634350510405418,1.1586493012895083e-05,2.077784353496554e-08,0.00012242690214181153,0.00026603442185938353,2.8438941870547444e-05,1.1496403346668212e-07,0.0001202903796187026,0.0,0.0,0.0,0.0,0.0,0.0,11.1
8,Oxnard,Oxnard; Ventura,21.89917854,238.6750031,17.05357695,297806.3934,325.8611227,27.88130177,2573.736687,0.299903009,0.43558362,0.036198658,28.65,CA,36083.24886956574,6.267598434305473e-05,0.0003404150291825132,5.0977739888911325e-05,0.0004540687533809004,0.07914617090957322,0.9851922258966519,0.971452914079715,0.604156084246108,2.635873196804243e-05,0.0003780728496609905,0.020908479814389373,0.12654050089308794,0.032529039868490615,5.240811640009606e-05,6.127859543797154e-06,0.00010152097073816549,0.0003977772654493992,5.673091765127968e-05,2.445354888744306e-07,5.712066757798491e-05,0.0,0.0,0.0,0.0,0.0,0.0,13.6
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.1
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.2
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.3
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.7
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.5
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.8
10,San Jose,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,41.40435654,354.3750038,15.53486609,4604961.31,283.8368823,27.91794135,2677.119563,0.306727058,0.271643797,0.042396863,23.88,CA,38232.46019845496,2.8847150075187063e-05,0.00028345203208667133,5.995359782946798e-05,0.00037207402704540857,0.1544409427622314,1.5870265971898037,2.3123230561952326,0.9685756037329226,8.730773192967392e-05,0.005510021251405476,0.00936870825957059,0.2055840832895076,0.04280591215216964,1.440373869938117e-05,3.950935776700369e-06,7.614533352072834e-05,0.0008039199252251699,8.443053229474366e-05,1.2188765750998243e-07,2.604734153564474e-06,0.0,0.0,0.0,0.0,0.0,0.0,10.2
